,,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,전년대비율(%),,
항구명,외내항구분,수출입구분,입출항구분상세,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공
,,연안,계,264660.0,218641.0,46019.0,270338.0,231426.0,38912.0,288578.0,238925.0,49653.0,209403.0,171974.0,37429.0,268147.0,242454.0,25693.0,213256.0,182643.0,30613.0,172602.0,148518.0,24084.0,62477.0,52130.0,10347.0,27840.0,19792.0,8048.0,18714.0,15446.0,3268.0,101956.0,65455.0,36501.0,160147.5,99866.0,60281.5,203737.75,118606.0,85131.75,147549.5,87976.25,59573.25,39583.5,32068.0,7515.5,11130.5,9383.0,1747.5,9918.0,9086.5,831.5,9256.0,8598.5,657.5,165215.5,98426.75,66788.75,7889.0,7638.0,251.0,6546.0,6306.0,240.0,9204.0,8132.0,1072.0,13677.5,13375.0,302.5,15099.0,13749.5,1349.5,5443.5,4944.0,499.5,0.0,0.0,0.0,5756.0,3100.0,2656.0,0,0,0
,,,입항,147161.0,115625.0,31536.0,150604.0,116429.0,34175.0,163625.0,119157.0,44468.0,109312.0,84304.0,25008.0,138961.0,122031.0,16930.0,107127.0,91586.0,15541.0,86301.0,74355.0,11946.0,31270.0,26870.0,4400.0,15721.0,9514.0,6207.0,11379.0,9062.0,2317.0,47543.0,29786.0,17757.0,73538.5,39589.0,33949.5,99970.0,40985.0,58985.0,74988.25,30657.5,44330.75,19869.5,14593.5,5276.0,5366.0,3806.0,1560.0,4924.5,4093.0,831.5,4419.0,3761.5,657.5,73693.25,45648.5,28044.75,3935.0,3684.0,251.0,3274.0,3034.0,240.0,4487.5,3415.5,1072.0,4107.0,3804.5,302.5,2527.5,1241.0,1286.5,986.5,546.5,440.0,0.0,0.0,0.0,2180.0,0.0,2180.0,0,,0
,,,출항,117499.0,103016.0,14483.0,119734.0,114997.0,4737.0,124953.0,119768.0,5185.0,100091.0,87670.0,12421.0,129186.0,120423.0,8763.0,106129.0,91057.0,15072.0,86301.0,74163.0,12138.0,31207.0,25260.0,5947.0,12119.0,10278.0,1841.0,7335.0,6384.0,951.0,54413.0,35669.0,18744.0,86609.0,60277.0,26332.0,103767.75,77621.0,26146.75,72561.25,57318.75,15242.5,19714.0,17474.5,2239.5,5764.5,5577.0,187.5,4993.5,4993.5,0.0,4837.0,4837.0,0.0,91522.25,52778.25,38744.0,3954.0,3954.0,0.0,3272.0,3272.0,0.0,4716.5,4716.5,0.0,9570.5,9570.5,0.0,12571.5,12508.5,63.0,4457.0,4397.5,59.5,0.0,0.0,0.0,3576.0,3100.0,476.0,0,0,0
부산항,합계,,,5655533.0,4383346.0,1272187.0,6382737.0,4938388.0,1444349.0,8072814.0,6604965.0,1467849.0,9453356.0,7864686.0,1588670.0,1.0407809E7,8502615.0,1905194.0,1.1491968E7,9376846.0,2115122.0,1.1843151E7,9666990.0,2176161.0,1.2038786E7,9771458.0,2267328.0,1.3261484E7,1.068293E7,2578554.0,1.3452786E7,1.0728675E7,2724111.0,1.1980325E7,9844324.0,2136001.0,1.4194334E7,1.1590697E7,2603637.0,1.6184706E7,1.311845E7,3066256.0,1.704617725E7,1.396562125E7,3080556.0,1.76860985E7,1.463378025E7,3052318.25,1.868328325E7,1.544126325E7,3242020.0,1.94687245E7,1.6088514E7,3380210.5,1.945629125E7,1.612468925E7,3331602.0,2.049347525E7,1.696608875E7,3527386.5,2.1662572E7,1.8141701E7,3520871.0,2.199200025E7,1.8216096E7,3775904.25,2.1823995E7,1.8228663E7,3595332.0,2.270612975E7,1.954508725E7,3161042.5,2.20781945E7,1.87068375E7,3371357.0,2.3153508E7,1.9255342E7,3898166.0,2.440202E7,2.03439285E7,4058091.5,2.4882355E7,2.041437275E7,4467982.25,1.9684231059559743,0.3462667006522313,10.10057929940713
,외항,합계,,5526608.0,4267852.0,1258756.0,6267221.0,4823629.0,1443592.0,7953624.0,6486292.0,1467332.0,9409188.0,7821432.0,1587756.0,1.0286079E7,8384740.0,1901339.0,1.1386912E7,9286842.0,2100070.0,1.1758036E7,9594107.0,2163929.0,1.2010914E7,9748360.0,2262554.0,1.3254917E7,1.0677398E7,2577519.0,1.3445921E7,1.0722456E7,2723465.0,1.1941211E7,9815330.0,2125881.0,1.4112792E7,1.1535423E7,2577369.0,1.606059E7,1.304662E7,3013970.0,1.695568125E7,1.391551775E7,3040163.5,1.7681897E7,1.463109775E7,3050799.25,1.868328075E7,1.544126325E7,3242017.5,1.94687145E7,1.6088504E7,3380210.5,1.945629125E7,1.612468925E7,3331602.0,2.041169025E7,1.691215175E7,3499538.5,2.1662572E7,1.8141701E7,3520871.0,2.199200025E7,1.8216096E7,3775904.25,2.1823961E7,1.8228629E7,3595332.0,2.270612375E7,1.954508125E7,3161042.5,2.20767845E7,1.87060875E7,3370697.0,2.3152998E7,1.9255132E7,3897866.0,2.440202E7,2.03439285E7,4058091.5,2.4882345E7,2.041436275E7,4467982.25,1.9683821257420409,0.34621754593759935,10.10057929940713
,,수출입,계,4678191.0,3447132.0,1231059.0,5034915.0,3643166.0,1391749.0,5010641.0,3660576.0,1350065.0,5521731.0,4092709.0,1429022.0,6035003.0,4305320.0,1729683.0,6594970.0,4693529.0,1901441.0,6579238.0,4668631.0,1910607.0,6803183.0,4771652.0,2031531.0,7443750.0,5227744.0,2216006.0,7638073.0,5371763.0,2266310.0,6568726.0,4776040.0,1792686.0,7836334.0,5646675.0,2189659.0,8708051.0,6192621.0,2515430.0,8808135.5,6250422.5,2557713.0,8933444.0,6387475.0,2545969.0,9253926.0,6666985.25,2586940.75,9363396.25,6675825.5,2687570.75,9620465.25,6865236.5,2755228.75,1.01862735E7,7221548.0,2964725.5,1.0233267E7,7424025.0,2809242.0,1.035410475E7,7518788.25,2835316.5,9803835.5,7083149.75,2720685.75,1.043345125E7,7662536.5,2770914.75,1.031097375E7,7443486.5,2867487.25,1.074423525E7,7467638.25,3276597.0,1.0904836E7,7605590.5,3299245.5,1.07851435E7,7500938.75,3284204.75,-1.0976093542351295,-1.3759845471564613,-0.4558845348125784
,,,수입,2271997.0,1264986.0,1007011.0,2483753.0,1407487.0,1076266.0,2496764.0,1482229.0,1014535.0,2729332.0,1756742.0,972590.0,3029020.0,1766836.0,1262184.0,3286361.0,1836813.0,1449548.0,3309202.0,1913475.0,1395727.0,3429141.0,2033783.0,1395358.0,3752747.0,2296054.0,1456693.0,3853127.0,2393649.0,1459478.0,3266708.0,2041972.0,1224736.0,3913611.0,2378921.0,1534690.0,4402736.0,2601512.0,1801224.0,4381647.25,2537560.75,1844086.5,4424105.25,2557432.5,1866672.75,4596287.25,2800284.75,1796002.5,4713229.25,2842613.0,1870616.25,4801126.5,2888610.5,1912516.0,5042321.25,3065512.25,1976809.0,5116858.5,3149736.25,1967122.25,5191570.0,3224490.0,1967080.0,4852616.75,3058235.5,1794381.25,5207989.5,3227561.75,1980427.75,5133224.0,3191151.5,1942072.5,5330591.5,3092461.5,2238130.0,5409691.25,3190136.75,2219554.5,5362957.75,3185634.75,2177323.0,-0.8638847919463011,-0.14112247695964308,-1.902701645758187
,,,수출,2406194.0,2182146.0,224048.0,2551162.0,2235679.0,315483.0,2513877.0,2178347.0,335530.0,2792399.0,2335967.0,456432.0,3005983.0,2538484.0,467499.0,3308609.0,2856716.0,451893.0,3270036.0,2755156.0,514880.0,3374042.0,2737869.0,636173.0,3691003.0,2931690.0,759313.0,3784946.0,2978114.0,806832.0,3302018.0,2734068.0,567950.0,3922723.0,3267754.0,654969.0,4305315.0,3591109.0,714206.0,4426488.25,3712861.75,713626.5,4509338.75,3830042.5,679296.25,4657638.75,3866700.5,790938.25,4650167.0,3833212.5,816954.5,4819338.75,3976626.0,842712.75,5143952.25,4156035.75,987916.5,5116408.5,4274288.75,842119.75,5162534.75,4294298.25,868236.5,4951218.75,4024914.25,926304.5,5225461.75,4434974.75,790487.0,5177749.75,4252335.0,925414.75,5413643.75,4375176.75,1038467.0,5495144.75,4415453.75,1079691.0,5422185.75,4315304.0,1106881.75,-1.3276993294853656,-2.2681643987325195,2.51838257427357
,,환적,계,848417.0,820720.0,27697.0,1232306.0,1180463.0,51843.0,2942983.0,2825716.0,117267.0,3887457.0,3728723.0,158734.0,4251076.0,4079420.0,171656.0,4791942.0,4593313.0,198629.0,5178798.0,4925476.0,253322.0,5207731.0,4976708.0,231023.0,5811167.0,5449654.0,361513.0,5807848.0,5350693.0,457155.0,5372485.0,5039290.0,333195.0,6276458.0,5888748.0,387710.0,7352539.0,6853999.0,498540.0,8147545.75,7665095.25,482450.5,8748453.0,8243622.75,504830.25,9429354.75,8774278.0,655076.75,1.010531825E7,9412678.5,692639.75,9835826.0,9259452.75,576373.25,1.022541675E7,9690603.75,534813.0,1.1429305E7,1.0717676E7,711629.0,1.16378955E7,1.069730775E7,940587.75,1.20201255E7,1.114547925E7,874646.25,1.22726725E7,1.188254475E7,390127.75,1.176581075E7,1.1262601E7,503209.75,1.240876275E7,1.178749375E7,621269.0,1.3497184E7,1.2738338E7,758846.0,1.40972015E7,1.2913424E7,1183777.5,4.445501372730787,1.3744807211113486,55.99706659849297
,,,입항,848417.0,820720.0,27697.0,1232306.0,1180463.0,51843.0,1530131.0,1468379.0,61752.0,2003576.0,1931391.0,72185.0,2175359.0,2100534.0,74825.0,2408858.0,2306987.0,101871.0,2606154.0,2473823.0,132331.0,2620638.0,2495427.0,125211.0,2928000.0,2734443.0,193557.0,2916574.0,2672572.0,244002.0,2716694.0,2537017.0,179677.0,3183737.0,2965769.0,217968.0,3768369.0,3515147.0,253222.0,4129137.75,3857886.0,271251.75,4422695.75,4128373.5,294322.25,4736609.5,4387222.25,349387.25,5064476.75,4700712.0,363764.75,4931706.5,4625445.0,306261.5,5144179.75,4852802.0,291377.75,5737470.0,5367931.5,369538.5,5850365.75,5362149.25,488216.5,6034501.5,5587413.25,447088.25,6154475.75,5956283.5,198192.25,5845594.0,5589955.25,255638.75,6205788.5,5889097.5,316691.0,6794732.25,6397812.0,396920.25,7065085.0,6444836.25,620248.75,3.9788580337363655,0.7350051861480189,56.26533289747753
