,,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,전년대비율(%),,
항구명,외내항구분,수출입구분,입출항구분상세,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공
,,,출항,,,,,,,1412852.0,1357337.0,55515.0,1883881.0,1797332.0,86549.0,2075717.0,1978886.0,96831.0,2383084.0,2286326.0,96758.0,2572644.0,2451653.0,120991.0,2587093.0,2481281.0,105812.0,2883167.0,2715211.0,167956.0,2891274.0,2678121.0,213153.0,2655791.0,2502273.0,153518.0,3092721.0,2922979.0,169742.0,3584170.0,3338852.0,245318.0,4018408.0,3807209.25,211198.75,4325757.25,4115249.25,210508.0,4692745.25,4387055.75,305689.5,5040841.5,4711966.5,328875.0,4904119.5,4634007.75,270111.75,5081237.0,4837801.75,243435.25,5691835.0,5349744.5,342090.5,5787529.75,5335158.5,452371.25,5985624.0,5558066.0,427558.0,6118196.75,5926261.25,191935.5,5920216.75,5672645.75,247571.0,6202974.25,5898396.25,304578.0,6702451.75,6340526.0,361925.75,7032116.5,6468587.75,563528.75,4.9185695368862525,2.0197338517340624,55.70286170575043
,내항,합계,,128925.0,115494.0,13431.0,115516.0,114759.0,757.0,119190.0,118673.0,517.0,44168.0,43254.0,914.0,121730.0,117875.0,3855.0,105056.0,90004.0,15052.0,85115.0,72883.0,12232.0,27872.0,23098.0,4774.0,6567.0,5532.0,1035.0,6865.0,6219.0,646.0,39114.0,28994.0,10120.0,81542.0,55274.0,26268.0,124116.0,71830.0,52286.0,90496.0,50103.5,40392.5,4201.5,2682.5,1519.0,2.5,0.0,2.5,10.0,10.0,0.0,0.0,0.0,0.0,81785.0,53937.0,27848.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,6.0,6.0,0.0,1410.0,750.0,660.0,510.0,210.0,300.0,,,,10.0,10.0,0.0,0,0,
,,연안,계,128925.0,115494.0,13431.0,115516.0,114759.0,757.0,119190.0,118673.0,517.0,44168.0,43254.0,914.0,121730.0,117875.0,3855.0,105056.0,90004.0,15052.0,85115.0,72883.0,12232.0,27872.0,23098.0,4774.0,6567.0,5532.0,1035.0,6865.0,6219.0,646.0,39114.0,28994.0,10120.0,81542.0,55274.0,26268.0,124116.0,71830.0,52286.0,90496.0,50103.5,40392.5,4201.5,2682.5,1519.0,2.5,0.0,2.5,10.0,10.0,0.0,0.0,0.0,0.0,81785.0,53937.0,27848.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,6.0,6.0,0.0,1410.0,750.0,660.0,510.0,210.0,300.0,,,,10.0,10.0,0.0,0,0,
,,,입항,67816.0,66526.0,1290.0,70015.0,69462.0,553.0,74057.0,74046.0,11.0,23070.0,23057.0,13.0,65596.0,64830.0,766.0,45759.0,42956.0,2803.0,38813.0,36779.0,2034.0,13709.0,12845.0,864.0,3800.0,3679.0,121.0,4875.0,4663.0,212.0,14123.0,9749.0,4374.0,36497.0,15013.0,21484.0,57229.0,16203.0,41026.0,46866.0,15370.0,31496.0,1407.5,1389.5,18.0,2.5,0.0,2.5,10.0,10.0,0.0,0.0,0.0,0.0,30597.25,17986.25,12611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,660.0,0.0,660.0,300.0,0.0,300.0,,,,,,,,,
,,,출항,61109.0,48968.0,12141.0,45501.0,45297.0,204.0,45133.0,44627.0,506.0,21098.0,20197.0,901.0,56134.0,53045.0,3089.0,59297.0,47048.0,12249.0,46302.0,36104.0,10198.0,14163.0,10253.0,3910.0,2767.0,1853.0,914.0,1990.0,1556.0,434.0,24991.0,19245.0,5746.0,45045.0,40261.0,4784.0,66887.0,55627.0,11260.0,43630.0,34733.5,8896.5,2794.0,1293.0,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51187.75,35950.75,15237.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,6.0,6.0,0.0,750.0,750.0,0.0,210.0,210.0,0.0,,,,10.0,10.0,0.0,0,0,
인천항,합계,,,574656.0,424699.0,149957.0,611261.0,470910.0,140351.0,663042.0,509852.0,153190.0,769791.0,616301.0,153490.0,821071.0,668698.0,152373.0,934954.0,773101.0,161853.0,1148666.0,928239.0,220427.0,1377050.0,1072487.0,304563.0,1663800.0,1235396.0,428404.0,1703362.0,1295160.0,408202.0,1578003.0,1239559.0,338444.0,1902732.5,1486012.25,416720.25,1997779.0,1586849.25,410929.75,1981854.5,1565857.0,415997.5,2160797.0,1701755.5,459041.5,2334939.0,1811180.75,523758.25,2376996.25,1834662.5,542333.75,2679504.0,2020260.0,659244.0,3048233.25,2192920.25,855313.0,3121367.5,2285157.0,836210.5,3091955.0,2253698.5,838256.5,3271604.25,2335491.0,936113.25,3353606.25,2418218.5,935387.75,3192343.5,2317736.5,874607.0,3461126.5,2460936.75,1000189.75,3557283.5,2512314.0,1044969.5,3443809.5,2452639.5,991170.0,-3.1899060055236017,-2.375280319259454,-5.148427777078657
,외항,합계,,447162.0,325418.0,121744.0,483342.0,368799.0,114543.0,537786.0,416602.0,121184.0,652463.0,521098.0,131365.0,712936.0,576192.0,136744.0,833168.0,686396.0,146772.0,1062533.0,852966.0,209567.0,1344330.0,1044222.0,300108.0,1645626.0,1222227.0,423399.0,1691513.0,1285933.0,405580.0,1541823.0,1216164.0,325659.0,1858264.0,1456244.25,402019.75,1949613.25,1555519.25,394094.0,1935290.5,1532745.5,402545.0,2125715.0,1672370.0,453345.0,2323811.0,1801797.75,522013.25,2367088.25,1825586.0,541502.25,2670366.0,2011779.5,658586.5,3002783.75,2170539.25,832244.5,3113478.5,2277519.0,835959.5,3085409.0,2247392.5,838016.5,3262674.25,2327633.0,935041.25,3345409.75,2410324.5,935085.25,3188627.5,2314710.0,873917.5,3459772.0,2459781.75,999990.25,3557283.5,2512314.0,1044969.5,3443809.5,2452639.5,991170.0,-3.1899060055236017,-2.375280319259454,-5.148427777078657
,,수출입,계,447162.0,325418.0,121744.0,483342.0,368799.0,114543.0,536631.0,415546.0,121085.0,650505.0,519194.0,131311.0,709932.0,573188.0,136744.0,828404.0,681694.0,146710.0,1056054.0,846491.0,209563.0,1331440.0,1031970.0,299470.0,1627640.0,1205267.0,422373.0,1667532.0,1263311.0,404221.0,1523245.0,1198280.0,324965.0,1837595.5,1437171.75,400423.75,1931417.75,1538635.75,392782.0,1919789.0,1517961.0,401828.0,2108145.0,1655964.0,452181.0,2307146.5,1787503.25,519643.25,2350266.25,1809418.0,540848.25,2654697.0,1996259.5,658437.5,2978309.75,2148737.75,829572.0,3087101.5,2256101.0,831000.5,3052444.0,2217531.5,834912.5,3193238.0,2264146.75,929091.25,3291100.5,2366180.25,924920.25,3116838.5,2274708.0,842130.5,3412191.5,2417529.25,994662.25,3508098.5,2472100.5,1035998.0,3404537.75,2421281.75,983256.0,-2.952047954183723,-2.055691101555135,-5.090936468989327
,,,수입,251979.0,136066.0,115913.0,273701.0,172579.0,101122.0,307519.0,210870.0,96649.0,358798.0,287764.0,71034.0,392464.0,318168.0,74296.0,451311.0,405151.0,46160.0,558262.0,514112.0,44150.0,694650.0,655487.0,39163.0,834371.0,781201.0,53170.0,857353.0,809420.0,47933.0,784662.0,729921.0,54741.0,949036.5,882177.5,66859.0,1005766.75,961579.75,44187.0,1004858.0,954140.0,50718.0,1112535.5,1041554.75,70980.75,1203161.0,1154823.75,48337.25,1223843.5,1197381.0,26462.5,1373666.5,1327849.75,45816.75,1527743.5,1476803.5,50940.0,1586774.0,1550071.75,36702.25,1565392.75,1548072.0,17320.75,1622899.75,1606208.75,16691.0,1688952.5,1668656.25,20296.25,1592991.0,1563259.75,29731.25,1737018.5,1595567.75,141450.75,1771479.5,1652457.5,119022.0,1727919.5,1588501.25,139418.25,-2.4589615629195816,-3.870371855251953,17.136537782930894
,,,수출,195183.0,189352.0,5831.0,209641.0,196220.0,13421.0,229112.0,204676.0,24436.0,291707.0,231430.0,60277.0,317468.0,255020.0,62448.0,377093.0,276543.0,100550.0,497792.0,332379.0,165413.0,636790.0,376483.0,260307.0,793269.0,424066.0,369203.0,810179.0,453891.0,356288.0,738583.0,468359.0,270224.0,888559.0,554994.25,333564.75,925651.0,577056.0,348595.0,914931.0,563821.0,351110.0,995609.5,614409.25,381200.25,1103985.5,632679.5,471306.0,1126422.75,612037.0,514385.75,1281030.5,668409.75,612620.75,1450566.25,671934.25,778632.0,1500327.5,706029.25,794298.25,1487051.25,669459.5,817591.75,1570338.25,657938.0,912400.25,1602148.0,697524.0,904624.0,1523847.5,711448.25,812399.25,1675173.0,821961.5,853211.5,1736619.0,819643.0,916976.0,1676618.25,832780.5,843837.75,-3.4550324509866615,1.6028319646480327,-7.97602663537541
,,환적,계,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,1056.0,99.0,1958.0,1904.0,54.0,3004.0,3004.0,0.0,4764.0,4702.0,62.0,6479.0,6475.0,4.0,12890.0,12252.0,638.0,17986.0,16960.0,1026.0,23981.0,22622.0,1359.0,18578.0,17884.0,694.0,20668.5,19072.5,1596.0,18195.5,16883.5,1312.0,15501.5,14784.5,717.0,17570.0,16406.0,1164.0,16664.5,14294.5,2370.0,16822.0,16168.0,654.0,15669.0,15520.0,149.0,24474.0,21801.5,2672.5,26377.0,21418.0,4959.0,32965.0,29861.0,3104.0,69436.25,63486.25,5950.0,54309.25,44144.25,10165.0,71789.0,40002.0,31787.0,47580.5,42252.5,5328.0,49185.0,40213.5,8971.5,39271.75,31357.75,7914.0,-20.155026939107458,-22.02183346388651,-11.787326534024412
,,,입항,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,1049.0,99.0,1737.0,1683.0,54.0,2362.0,2362.0,0.0,3647.0,3585.0,62.0,5153.0,5151.0,2.0,9980.0,9664.0,316.0,13343.0,12846.0,497.0,18979.0,18138.0,841.0,15293.0,14877.0,416.0,15737.5,14905.5,832.0,12383.5,11711.5,672.0,10522.5,10237.5,285.0,12190.25,11479.25,711.0,10337.0,10145.0,192.0,11514.0,11056.0,458.0,11291.0,11215.0,76.0,16519.5,14602.5,1917.0,15742.0,13122.0,2620.0,19370.0,17808.0,1562.0,38382.75,35115.75,3267.0,28737.0,23670.0,5067.0,37421.0,21809.0,15612.0,27011.5,24035.5,2976.0,27918.5,23300.5,4618.0,24649.25,19620.25,5029.0,-11.709977255225034,-15.794725435076495,8.89995669120831
,,,출항,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,221.0,221.0,0.0,642.0,642.0,0.0,1117.0,1117.0,0.0,1326.0,1324.0,2.0,2910.0,2588.0,322.0,4643.0,4114.0,529.0,5002.0,4484.0,518.0,3285.0,3007.0,278.0,4931.0,4167.0,764.0,5812.0,5172.0,640.0,4979.0,4547.0,432.0,5379.75,4926.75,453.0,6327.5,4149.5,2178.0,5308.0,5112.0,196.0,4378.0,4305.0,73.0,7954.5,7199.0,755.5,10635.0,8296.0,2339.0,13595.0,12053.0,1542.0,31053.5,28370.5,2683.0,25572.25,20474.25,5098.0,34368.0,18193.0,16175.0,20569.0,18217.0,2352.0,21266.5,16913.0,4353.5,14622.5,11737.5,2885.0,-31.241624150659487,-30.600721338615266,-33.73148041805444
,내항,합계,,127494.0,99281.0,28213.0,127919.0,102111.0,25808.0,125256.0,93250.0,32006.0,117328.0,95203.0,22125.0,108135.0,92506.0,15629.0,101786.0,86705.0,15081.0,86133.0,75273.0,10860.0,32720.0,28265.0,4455.0,18174.0,13169.0,5005.0,11849.0,9227.0,2622.0,36180.0,23395.0,12785.0,44468.5,29768.0,14700.5,48165.75,31330.0,16835.75,46564.0,33111.5,13452.5,35082.0,29385.5,5696.5,11128.0,9383.0,1745.0,9908.0,9076.5,831.5,9138.0,8480.5,657.5,45449.5,22381.0,23068.5,7889.0,7638.0,251.0,6546.0,6306.0,240.0,8930.0,7858.0,1072.0,8196.5,7894.0,302.5,3716.0,3026.5,689.5,1354.5,1155.0,199.5,0.0,0.0,0.0,0.0,0.0,0.0,,,
,,연안,계,127494.0,99281.0,28213.0,127919.0,102111.0,25808.0,125256.0,93250.0,32006.0,117328.0,95203.0,22125.0,108135.0,92506.0,15629.0,101786.0,86705.0,15081.0,86133.0,75273.0,10860.0,32720.0,28265.0,4455.0,18174.0,13169.0,5005.0,11849.0,9227.0,2622.0,36180.0,23395.0,12785.0,44468.5,29768.0,14700.5,48165.75,31330.0,16835.75,46564.0,33111.5,13452.5,35082.0,29385.5,5696.5,11128.0,9383.0,1745.0,9908.0,9076.5,831.5,9138.0,8480.5,657.5,45449.5,22381.0,23068.5,7889.0,7638.0,251.0,6546.0,6306.0,240.0,8930.0,7858.0,1072.0,8196.5,7894.0,302.5,3716.0,3026.5,689.5,1354.5,1155.0,199.5,0.0,0.0,0.0,0.0,0.0,0.0,,,
,,,입항,75710.0,49063.0,26647.0,69183.0,45546.0,23637.0,71582.0,41358.0,30224.0,66157.0,50784.0,15373.0,57780.0,46501.0,11279.0,59282.0,46988.0,12294.0,46374.0,37214.0,9160.0,16457.0,13621.0,2836.0,8822.0,4744.0,4078.0,6504.0,4399.0,2105.0,20821.0,14925.0,5896.0,20921.5,16386.0,4535.5,27162.0,15854.0,11308.0,22340.0,12806.5,9533.5,18162.0,13204.0,4958.0,5363.5,3806.0,1557.5,4914.5,4083.0,831.5,4419.0,3761.5,657.5,15366.5,15162.0,204.5,3935.0,3684.0,251.0,3274.0,3034.0,240.0,4487.5,3415.5,1072.0,4107.0,3804.5,302.5,1867.5,1241.0,626.5,686.5,546.5,140.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
,,,출항,51784.0,50218.0,1566.0,58736.0,56565.0,2171.0,53674.0,51892.0,1782.0,51171.0,44419.0,6752.0,50355.0,46005.0,4350.0,42504.0,39717.0,2787.0,39759.0,38059.0,1700.0,16263.0,14644.0,1619.0,9352.0,8425.0,927.0,5345.0,4828.0,517.0,15359.0,8470.0,6889.0,23547.0,13382.0,10165.0,21003.75,15476.0,5527.75,24224.0,20305.0,3919.0,16920.0,16181.5,738.5,5764.5,5577.0,187.5,4993.5,4993.5,0.0,4719.0,4719.0,0.0,30083.0,7219.0,22864.0,3954.0,3954.0,0.0,3272.0,3272.0,0.0,4442.5,4442.5,0.0,4089.5,4089.5,0.0,1848.5,1785.5,63.0,668.0,608.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,,,
광양항,합계,,,454696.0,315141.0,139555.0,677747.0,484429.0,193318.0,887092.0,637410.0,249682.0,1125549.0,883601.0,241948.0,1235292.0,951996.0,283296.0,1348555.0,1037292.0,311263.0,1460818.0,1068032.0,392786.0,1770386.0,1331236.0,439150.0,1736916.0,1271909.0,465007.0,1822449.0,1325008.0,497441.0,1830317.0,1295069.0,535248.0,2087890.25,1478124.25,609766.0,2085222.25,1503056.0,582166.25,2153818.0,1592877.75,560940.25,2284835.0,1788818.25,496016.75,2338335.25,1840688.25,497647.0,2327334.75,1814086.75,513248.0,2249582.5,1768474.75,481107.75,2233212.5,1769070.75,464141.75,2408498.75,1917600.5,490898.25,2378336.5,1900603.75,477732.75,2158754.5,1664047.0,494707.5,2124734.75,1650378.5,474356.25,1864426.0,1412143.75,452282.25,1862939.25,1407113.5,455825.75,2010050.25,1508026.5,502023.75,2059166.25,1503561.75,555604.5,2.4435210015272046,-0.2960657521601906,10.672951229896999
,외항,합계,,446455.0,311275.0,135180.0,650844.0,469873.0,180971.0,842960.0,610408.0,232552.0,1077642.0,850084.0,227558.0,1197010.0,919923.0,277087.0,1342141.0,1031358.0,310783.0,1459464.0,1067670.0,391794.0,1768501.0,1330469.0,438032.0,1733817.0,1270818.0,462999.0,1822449.0,1325008.0,497441.0,1803655.0,1282003.0,521652.0,2053753.25,1463300.25,590453.0,2053766.25,1487610.0,566156.25,2143328.5,1588116.5,555212.0,2284535.0,1788818.25,495716.75,2338335.25,1840688.25,497647.0,2327334.75,1814086.75,513248.0,2249464.5,1768356.75,481107.75,2195231.5,1746962.0,448269.5,2408498.75,1917600.5,490898.25,2378336.5,1900603.75,477732.75,2158514.5,1663807.0,494707.5,2119259.75,1644903.5,474356.25,1854453.0,1402170.75,452282.25,1859360.25,1403534.5,455825.75,2010050.25,1508026.5,502023.75,2053420.25,1500471.75,552948.5,2.157657501348531,-0.5009693132050352,10.143892594722859
,,수출입,계,432415.0,301335.0,131080.0,618895.0,440355.0,178540.0,677233.0,451344.0,225889.0,763240.0,541714.0,221526.0,853054.0,580992.0,272062.0,982181.0,689823.0,292358.0,1116664.0,773687.0,342977.0,1320961.0,913726.0,407235.0,1420194.0,989119.0,431075.0,1500491.0,1020192.0,480299.0,1498073.0,1016634.0,481439.0,1739760.75,1176879.75,562881.0,1725564.5,1192905.25,532659.25,1820996.25,1294103.25,526893.0,1748056.75,1297933.75,450123.0,1819551.5,1354227.0,465324.5,1749963.5,1302534.0,447429.5,1806484.75,1363427.0,443057.75,1753603.5,1372089.0,381514.5,1822849.25,1433208.75,389640.5,1798486.5,1404903.75,393582.75,1788001.5,1378257.75,409743.75,1788035.25,1380447.75,407587.5,1576597.25,1235545.0,341052.25,1608565.0,1199597.5,408967.5,1701065.5,1250410.75,450654.75,1804502.25,1306699.75,497802.5,6.0807035355193495,4.501640760845982,10.46205548704413
,,,수입,234829.0,117614.0,117215.0,302347.0,141664.0,160683.0,333130.0,142231.0,190899.0,367343.0,182410.0,184933.0,410959.0,173685.0,237274.0,484721.0,220262.0,264459.0,556830.0,234716.0,322114.0,637038.0,261182.0,375856.0,708150.0,303248.0,404902.0,765938.0,323595.0,442343.0,732055.0,277474.0,454581.0,866348.75,328740.5,537608.25,855965.25,357916.25,498049.0,915563.0,428303.0,487260.0,859997.0,458986.5,401010.5,899832.0,500516.5,399315.5,868314.0,467767.5,400546.5,893876.25,526263.75,367612.5,857744.5,568942.0,288802.5,895823.75,616433.75,279390.0,873400.25,590381.0,283019.25,874456.5,599491.5,274965.0,897158.25,599373.75,297784.5,800915.25,620031.25,180884.0,802314.25,564453.75,237860.5,874318.0,594771.0,279547.0,915662.5,622375.25,293287.25,4.728771453864611,4.6411560079425485,4.915184208737711
,,,수출,197586.0,183721.0,13865.0,316548.0,298691.0,17857.0,344103.0,309113.0,34990.0,395897.0,359304.0,36593.0,442095.0,407307.0,34788.0,497460.0,469561.0,27899.0,559834.0,538971.0,20863.0,683923.0,652544.0,31379.0,712044.0,685871.0,26173.0,734553.0,696597.0,37956.0,766018.0,739160.0,26858.0,873412.0,848139.25,25272.75,869599.25,834989.0,34610.25,905433.25,865800.25,39633.0,888059.75,838947.25,49112.5,919719.5,853710.5,66009.0,881649.5,834766.5,46883.0,912608.5,837163.25,75445.25,895859.0,803147.0,92712.0,927025.5,816775.0,110250.5,925086.25,814522.75,110563.5,913545.0,778766.25,134778.75,890877.0,781074.0,109803.0,775682.0,615513.75,160168.25,806250.75,635143.75,171107.0,826747.5,655639.75,171107.75,888839.75,684324.5,204515.25,7.510424887888978,4.375077929609983,19.524247148361184
,,환적,계,14040.0,9940.0,4100.0,31949.0,29518.0,2431.0,165727.0,159064.0,6663.0,314402.0,308370.0,6032.0,343956.0,338931.0,5025.0,359960.0,341535.0,18425.0,342800.0,293983.0,48817.0,447540.0,416743.0,30797.0,313623.0,281699.0,31924.0,321958.0,304816.0,17142.0,305582.0,265369.0,40213.0,313992.5,286420.5,27572.0,328201.75,294704.75,33497.0,322332.25,294013.25,28319.0,536478.25,490884.5,45593.75,518783.75,486461.25,32322.5,577371.25,511552.75,65818.5,442979.75,404929.75,38050.0,441628.0,374873.0,66755.0,585649.5,484391.75,101257.75,579850.0,495700.0,84150.0,370513.0,285549.25,84963.75,331224.5,264455.75,66768.75,277855.75,166625.75,111230.0,250795.25,203937.0,46858.25,308984.75,257615.75,51369.0,248918.0,193772.0,55146.0,-19.440037089209095,-24.782549203610415,7.352683525083226
,,,입항,14040.0,9940.0,4100.0,31949.0,29518.0,2431.0,83822.0,80442.0,3380.0,158745.0,155576.0,3169.0,174698.0,170067.0,4631.0,181719.0,171009.0,10710.0,172917.0,145962.0,26955.0,227662.0,209459.0,18203.0,156449.0,142384.0,14065.0,159152.0,148786.0,10366.0,159961.0,135227.0,24734.0,163609.5,143408.0,20201.5,167377.0,146946.0,20431.0,162630.75,146602.25,16028.5,276608.75,247734.5,28874.25,264981.5,242096.25,22885.25,293985.25,257141.0,36844.25,222807.0,200742.0,22065.0,225831.0,187064.75,38766.25,307787.25,245656.5,62130.75,301526.5,246691.75,54834.75,194857.0,144642.25,50214.75,181629.75,136052.75,45577.0,146199.25,78588.75,67610.5,125817.5,103564.25,22253.25,152124.5,127725.5,24399.0,124269.75,96816.75,27453.0,-18.31049567952565,-24.199357215278074,12.516906430591423
,,,출항,0.0,0.0,0.0,,,,81905.0,78622.0,3283.0,155657.0,152794.0,2863.0,169258.0,168864.0,394.0,178241.0,170526.0,7715.0,169883.0,148021.0,21862.0,219878.0,207284.0,12594.0,157174.0,139315.0,17859.0,162806.0,156030.0,6776.0,145621.0,130142.0,15479.0,150383.0,143012.5,7370.5,160824.75,147758.75,13066.0,159701.5,147411.0,12290.5,259869.5,243150.0,16719.5,253802.25,244365.0,9437.25,283386.0,254411.75,28974.25,220172.75,204187.75,15985.0,215797.0,187808.25,27988.75,277862.25,238735.25,39127.0,278323.5,249008.25,29315.25,175656.0,140907.0,34749.0,149594.75,128403.0,21191.75,131656.5,88037.0,43619.5,124977.75,100372.75,24605.0,156860.25,129890.25,26970.0,124648.25,96955.25,27693.0,-20.535476642425344,-25.356021718335285,2.6807563959955427
,내항,합계,,8241.0,3866.0,4375.0,26903.0,14556.0,12347.0,44132.0,27002.0,17130.0,47907.0,33517.0,14390.0,38282.0,32073.0,6209.0,6414.0,5934.0,480.0,1354.0,362.0,992.0,1885.0,767.0,1118.0,3099.0,1091.0,2008.0,,,,26662.0,13066.0,13596.0,34137.0,14824.0,19313.0,31456.0,15446.0,16010.0,10489.5,4761.25,5728.25,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,0.0,37981.0,22108.75,15872.25,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,5475.0,5475.0,0.0,9973.0,9973.0,0.0,3579.0,3579.0,0.0,,,,5746.0,3090.0,2656.0,0,0,0
,,연안,계,8241.0,3866.0,4375.0,26903.0,14556.0,12347.0,44132.0,27002.0,17130.0,47907.0,33517.0,14390.0,38282.0,32073.0,6209.0,6414.0,5934.0,480.0,1354.0,362.0,992.0,1885.0,767.0,1118.0,3099.0,1091.0,2008.0,,,,26662.0,13066.0,13596.0,34137.0,14824.0,19313.0,31456.0,15446.0,16010.0,10489.5,4761.25,5728.25,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,0.0,37981.0,22108.75,15872.25,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,5475.0,5475.0,0.0,9973.0,9973.0,0.0,3579.0,3579.0,0.0,,,,5746.0,3090.0,2656.0,0,0,0
,,,입항,3635.0,36.0,3599.0,11406.0,1421.0,9985.0,17986.0,3753.0,14233.0,20085.0,10463.0,9622.0,15585.0,10700.0,4885.0,2086.0,1642.0,444.0,1114.0,362.0,752.0,1104.0,404.0,700.0,3099.0,1091.0,2008.0,,,,12599.0,5112.0,7487.0,16120.0,8190.0,7930.0,15579.0,8928.0,6651.0,5782.25,2481.0,3301.25,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27729.5,12500.25,15229.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2180.0,0.0,2180.0,0,,0
,,,출항,4606.0,3830.0,776.0,15497.0,13135.0,2362.0,26146.0,23249.0,2897.0,27822.0,23054.0,4768.0,22697.0,21373.0,1324.0,4328.0,4292.0,36.0,240.0,0.0,240.0,781.0,363.0,418.0,,,,,,,14063.0,7954.0,6109.0,18017.0,6634.0,11383.0,15877.0,6518.0,9359.0,4707.25,2280.25,2427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,0.0,10251.5,9608.5,643.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,5475.0,5475.0,0.0,9973.0,9973.0,0.0,3579.0,3579.0,0.0,,,,3566.0,3090.0,476.0,0,0,0
